Country of Origin may be different at time of shipment.
"The HTSUS and ECCN information shown is for informational purposes only and is not a representation or warranty as to the accuracy or reliability of these classifications. All information is provided ""as is"" and is subject to change without notice. Any use made of the information provided is without recourse to Digi-Key and at the user's risk."
Index,Manufacturer Part Number,Manufacturer Name,Description,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Customer Reference,Requested Part Number,Lead Weeks,Datasheet,Reference Designator,US Import Tariff,Note,Part Status,RoHS Status,Moisture Sensitivity Level (MSL),ECCN,HTSUS,Country of Origin,Environmental Information,Original Part numbers,Image,Product Notes
1,PR24-5V-900-1A,Same Sky (Formerly CUI Devices),RELAY GEN PURPOSE SPST 40A 5V,903,In Stock,,3,3,Tray,2223-PR24-5V-900-1A-ND,2.52000,$7.56,1,,2223-PR24-5V-900-1A-ND,10,https://www.cuidevices.com/product/resource/digikeypdf/pr24.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,Not Applicable,EAR99,8536.41.0050,China,,2223-PR24-5V-900-1A-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4502/MFG_PR24-5V-900-1A.jpg,
2,40SQ045,ANBON SEMICONDUCTOR (INT'L) LIMITED,40A AXIAL LEADED SCHOTTKY DIODES,"2,814",In Stock,,3,3,Cut Tape (CT),4530-40SQ045CT-ND,1.89000,$5.67,1,,4530-40SQ045CT-ND,4,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/4890/40SQ045.pdf,,	-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8541.10.0080,China,,4530-40SQ045CT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4887/MFG_40SQ045.jpg,
3,1N4732A,onsemi,DIODE ZENER 4.7V 1W DO41,"7,466",In Stock,,3,3,Bulk,1N4732AFS-ND,0.16000,$0.48,1,,1N4732AFS-ND,8,https://rocelec.widen.net/view/pdf/7qfz7dzkx8/ONSM-S-A0003585147-1.pdf?t.download=true&u=5oefqw,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,Not Applicable,EAR99,8541.10.0050,China,https://www.onsemi.com/site/pdf/RoHS-statement.pdf|https://www.onsemi.com/PowerSolutions/MaterialComposition.do?export=pdf&opnId=1N4732A,1N4732AFS-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1177/DO-204AL.jpg,
4,1N4001-G,Comchip Technology,DIODE GEN PURP 50V 1A DO41,"22,550",In Stock,,3,3,Cut Tape (CT),641-1310-1-ND,0.19000,$0.57,1,,641-1310-1-ND,10,https://www.comchiptech.com/admin/files/product/1N4001-G%20Thru.%201N4007-G%20RevB.pdf,,	-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8541.10.0080,Taiwan,https://www.comchiptech.com/admin/files/tech/213_20201006093628.pdf,641-1310-1-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/641_1N5819-G.JPG,
5,BC337-25,Diotec Semiconductor,BJT TO-92 45V 800MA,641,In Stock,,3,3,Cut Tape (CT),4878-BC337-25CT-ND,0.10000,$0.30,1,,4878-BC337-25CT-ND,2,https://diotec.com/request/datasheet/bc337.pdf,,May apply on shipments to the U.S.,,Active,Not applicable,Not Applicable,EAR99,8541.21.0075,China,https://diotec.com/request/imds/p210_e.pdf,4878-BC337-25CT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/6294/4878%7ETO92%28FORMED%29%7E%7E3.jpg,
6,R-78E5.0-1.0,Recom Power,DC DC CONVERTER 5V 5W,"19,470",In Stock,,2,2,Tube,945-2201-ND,4.08000,$8.16,1,,945-2201-ND,4,https://recom-power.com/pdf/Innoline/R-78E-1.0.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8504.40.9580,Taiwan,https://recom-power.com/en/support/certifications/rohs/rohs.html?0,945-2201-ND,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/002/665/033/MFG_R-78-e%20series_web%28640x640%29.jpg,
7,EY1C102MP51016EU,Chinsan (Elite),CAP ALUM 1000UF 20% 16V RADIAL,0,Normally Stocking,,1,1,Cut Tape (CT),4191-EY1C102MP51016EUCT-ND,0.36000,$0.36,1,,4191-EY1C102MP51016EUCT-ND,18,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2526/EY%20Series.pdf,,	-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8532.22.0020,China,,4191-EY1C102MP51016EUCT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4520/MFG_Radial-lead-type-brown.jpg,"Non Cancellable Non Returnable. "
8,SN74HC126N,Texas Instruments,IC BUFFER NON-INVERT 6V 14DIP,"1,990",In Stock,,1,1,Tube,296-8221-5-ND,0.59000,$0.59,1,,296-8221-5-ND,12,https://www.ti.com/lit/ds/symlink/sn74hc126.pdf,,	-,,Active,ROHS3 Compliant,Not Applicable,EAR99,8542.39.0060,Malaysia,,296-8221-5-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/3623/Mfg_296%7E4040049%7EN%7E14.jpg,
9,LR1F1K0,TE Connectivity Passive Product,RES 1K OHM 1% 0.6W AXIAL,"566,143",In Stock,,2,2,Cut Tape (CT),A105951CT-ND,0.10000,$0.20,1,,A105951CT-ND,14,https://www.te.com/usa-en/product-1622349-1.datasheet.pdf,,	-,,Active,ROHS3 Compliant,Not Applicable,EAR99,8533.21.0090,Thailand,http://www.te.com/commerce/alt/SinglePartSearch.do?PN=1622349-1&dest=stmt,A105951CT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2609/LR%20Neohm%201k.jpg,
10,LR1F10K,TE Connectivity Passive Product,RES 10K OHM 1% 0.6W AXIAL,"775,912",In Stock,,1,1,Cut Tape (CT),A105947CT-ND,0.10000,$0.10,1,,A105947CT-ND,14,https://www.te.com/usa-en/product-1622298-1.datasheet.pdf,,	-,,Active,ROHS3 Compliant,Not Applicable,EAR99,8533.21.0090,Thailand,http://www.te.com/commerce/alt/SinglePartSearch.do?PN=1622298-1&dest=stmt,A105947CT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2584/LR%20Neohm%2010k.jpg,
